PID,Name of Project,Description,Sponsor-Full,Sponsor-Abb,System,WaterManagement,SoilNutrientandLandManagem,GeneticResources,EnergyManagement,OtherThematicAreas,org_type,ImplementingAgencies,Region,District,Community,Status,Year Approved,Year Completed,Link,CSA Technology,Contact Person,Contact Number,Commodity/Livestock,Beneficiaries,subcategory,Agro-ecological suitability of practices (e.g. drought-tolerant varieties),"If Yes, How?",Soil fertility management techniques suited to soil types ,"If Yes, How?.1",Climate forecasting and early warning systems,"If Yes, How?.2",Access to input and output markets ,"If Yes, How?.3",Financial capital/credit availability,"If Yes, How?.4","Rural infrastructure (roads, irrigation, electricity)","If Yes, How?.5",Education/training programs building farmer skills,"If Yes, How?.6",Community cooperative models for resources/labor sharing,"If Yes, How?.7"
P506,Agricultural Development & Value Chain Enhancement (ADVANCE) Project,"USAID ADVANCE achieves this goal through boosting the agricultural productivity of the three commodities, improving the value chain actors’ access to finance and markets, and strengthening local capacity.",U.S. Agency for International Development,USAID,Crop Production,Yes,Yes,Yes,No,Yes - sustainable food systems and value chains,ngo,"ACDI-VOCA, ACDEP, PAB Consult and TechnoServe",Brong Ahafo Region,"Techiman Municipal, Wenchi Municipal, Tain District, Ejura district, Sunyani West District,  Nkoranza  district, Atebubu-Amantin Municipal District, Kintampo North Municipal District","Techiman, Wenchi, Badu, Ejura, Sunyani, Nkoranza, Atebubu, Kintampo",Completed,2014,2020,"https://www.acdivoca.org/
projects/agricultural-
development-value-
chain-enhancement-
advance-project/","Plowing, Improved Varieties, fertilzer (organic and Inorganic)","Pearl Coleman Ackah
Private Sector Team Leader,
USAID/Ghana
packah@usaid.gov

Christel Tshikudi,
Chief of Party,
ADVANCE II Project
ctshikudi@acdivoca.org

Cecil Osei,
Technical Director-Value Chain Development
ADVANCE II Project
cosei@acdivocaghana.org",,"Maize, rice, and soybean","119,223 households, trained beneficiaries 124,572, beneficiaries supported 131,493. ",Farming System,,,Yes,,,,Yes,"1. Provision of  fertilizer and seed credit. 
2. Plowing services
3. Mobility (tricycle or motorbikes)
4.Capital asset (tractors and shellers) and farm inputs for production",Yes,"1. Organizing in-community input promotions, taking advantage of VSLA share outs
2. Increasing the uptake of crop insurance 
3. Encouraging OGs’ to make savings to invest in production inputs
4. Scaling up the VSLA concept (200 more groups to reach another 5000 OGs in the coming 
year)
5. Promoting agricultural finance through tripartite arrangements involving buyers and 
Financial Institutions (FIs)
6. Linking OBs to FIs based on investment gaps
7. Upscale of Village Savings and Loans Associations",,,Yes ,"1. Good Agronomic Practices training
2. Post-harvest handling training
3. Quality Standards training
4. Fall Armyworm (FAW) training
5. Soybean utilization training
6. Community Fire Volunteer Squads training
7. Farming as a Business training
8. Service spraying provisions
9. Outgrower business management training
10. Pre-harvest Agribusiness Event
11. Trade Missions",Yes,Strengthen Community-based market systems
P506,Agricultural Development & Value Chain Enhancement (ADVANCE) Project,"USAID ADVANCE achieves this goal through boosting the agricultural productivity of the three commodities, improving the value chain actors’ access to finance and markets, and strengthening local capacity.",U.S. Agency for International Development,USAID,Crop Production,Yes,Yes,Yes,No,Yes - sustainable food systems and value chains,ngo,"ACDI-VOCA, ACDEP, PAB Consult and TechnoServe",Upper East Region,"Bawku Municipal, Bawku West, Binduri, Bolgatanga Municipal, Builsa North, Builsa South, Garu-Tempane, Kassena Nankana East, Kassena Nankana West.","Navrongo
",Completed,2014,2020,"https://www.acdivoca.org/
projects/agricultural-
development-value-
chain-enhancement-
advance-project/","Plowing, Improved Varieties, fertilzer (organic and Inorganic)","Pearl Coleman Ackah
Private Sector Team Leader,
USAID/Ghana
packah@usaid.gov

Christel Tshikudi,
Chief of Party,
ADVANCE II Project
ctshikudi@acdivoca.org

Cecil Osei,
Technical Director-Value Chain Development
ADVANCE II Project
cosei@acdivocaghana.org",,"Maize, rice, and soybean","119,223 households, trained beneficiaries 124,572, beneficiaries supported 131,493. ",Farming System,,,Yes,,,,Yes,"1. Provision of  fertilizer and seed credit. 
2. Plowing services
3. Mobility (tricycle or motorbikes)
4.Capital asset (tractors and shellers) and farm inputs for production",Yes,"1. Organizing in-community input promotions, taking advantage of VSLA share outs
2. Increasing the uptake of crop insurance 
3. Encouraging OGs’ to make savings to invest in production inputs
4. Scaling up the VSLA concept (200 more groups to reach another 5000 OGs in the coming 
year)
5. Promoting agricultural finance through tripartite arrangements involving buyers and 
Financial Institutions (FIs)
6. Linking OBs to FIs based on investment gaps
7. Upscale of Village Savings and Loans Associations",,,Yes ,"1. Good Agronomic Practices training
2. Post-harvest handling training
3. Quality Standards training
4. Fall Armyworm (FAW) training
5. Soybean utilization training
6. Community Fire Volunteer Squads training
7. Farming as a Business training
8. Service spraying provisions
9. Outgrower business management training
10. Pre-harvest Agribusiness Event
11. Trade Missions",Yes,Strengthen Community-based market systems
P506,Agricultural Development & Value Chain Enhancement (ADVANCE) Project,"USAID ADVANCE achieves this goal through boosting the agricultural productivity of the three commodities, improving the value chain actors’ access to finance and markets, and strengthening local capacity.",U.S. Agency for International Development,USAID,Crop Production,Yes,Yes,Yes,No,Yes - sustainable food systems and value chains,ngo,"ACDI-VOCA, ACDEP, PAB Consult and TechnoServe",Upper West Region,"Daffiama Bussie Issa, Jirapa, Lambussie-Karni, Lawra, Nadowli-Kaleo, Nandom, Sissala East, Sissala West, Wa East, Wa Municipal, Wa West.",,Completed,2014,2020,"https://www.acdivoca.org/
projects/agricultural-
development-value-
chain-enhancement-
advance-project/","Plowing, Improved Varieties, fertilzer (organic and Inorganic)","Pearl Coleman Ackah
Private Sector Team Leader,
USAID/Ghana
packah@usaid.gov

Christel Tshikudi,
Chief of Party,
ADVANCE II Project
ctshikudi@acdivoca.org

Cecil Osei,
Technical Director-Value Chain Development
ADVANCE II Project
cosei@acdivocaghana.org",,"Maize, rice, and soybean","119,223 households, trained beneficiaries 124,572, beneficiaries supported 131,493. ",Farming System,,,Yes,,,,Yes,"1. Provision of  fertilizer and seed credit. 
2. Plowing services
3. Mobility (tricycle or motorbikes)
4.Capital asset (tractors and shellers) and farm inputs for production",Yes,"1. Organizing in-community input promotions, taking advantage of VSLA share outs
2. Increasing the uptake of crop insurance 
3. Encouraging OGs’ to make savings to invest in production inputs
4. Scaling up the VSLA concept (200 more groups to reach another 5000 OGs in the coming 
year)
5. Promoting agricultural finance through tripartite arrangements involving buyers and 
Financial Institutions (FIs)
6. Linking OBs to FIs based on investment gaps
7. Upscale of Village Savings and Loans Associations",,,Yes ,"1. Good Agronomic Practices training
2. Post-harvest handling training
3. Quality Standards training
4. Fall Armyworm (FAW) training
5. Soybean utilization training
6. Community Fire Volunteer Squads training
7. Farming as a Business training
8. Service spraying provisions
9. Outgrower business management training
10. Pre-harvest Agribusiness Event
11. Trade Missions",Yes,Strengthen Community-based market systems
P507,Agroforestry in Communities for Restoration and Empowerment (ACRE),ACRE is aimed at addressing climate change and restoring nature through an agroforestry food production system.,Gower Street,Gower Street,Crop Production,Yes,Yes,No,No,No,ngo,Ghana Youth Environment Management,Eastern Region,Asuogyaman District,Kwanyarko-Akwamu village ,Ongiong ,2023,,https://gyemgh.org/projects.php?p=159,Agroforestry,,info@gyemgh.org +233 (0) 541 295 774 ,,,Farming System,,,,,,,,,,,,,,,,
P508,Barlep-Brong Ahafo Rural Livelihood Enhancement Project,"Assist farmers to increase their vegetable production outputs by facilitating year-round vegetable production through access to drip irrigation facilities. Participating farmers will double their output by the end of two years.
Assist farmers to improve the profitability of their farm enterprise through better enterprise management practices. Through improved planning and coordination as well as cost reduction through reduction in the use of inorganic inputs, the project will assist beneficiaries to increase their earnings by at least 50%.",Embassy of Ireland Abuja Project,Embassy of Ireland Abuja Project,Crop Production,Yes,No,No,No,No,ngo,Abrono Organic Farming Project,Bono East Region,Techiman Municipal,"No
",Completed,2010,2012,https://abofap.org/projects/,,,,,,Cropping style,,,,,,,,,,,,,,,,
P509,Building Climate-Smart Farming Systems Through Integrated Water Storage And Crop-Livestock Interventions,"This project combines a focus on crop-livestock interventions with water retention techniques and infrastructure. In doing so, it identifies synergies that exist between water retention interventions such as Zaï, contour ridges, dugouts, small reservoirs; and crop-livestock interventions such as trees and legumes, fodder production, crop residue management. ","SNV Netherlands Development Organisation, rural micro-finance programme, AgriBusiness, International Fund for Agricultural Development, FNGN, GARY, DRGR.","FNGN, SNV, GARY, DRGR, IFAD ",Crop/Livestock Production ,Yes,No,No,No,"Yes - Integrated Production System, sustainable food systems and value chains",ngo," International Water Management Institute (IWMI) closely with the International Livestock Research Institute (ILRI) and CCAFS West Africa, and is implemented in Burkina Faso, Mali, and Ghana.",,,,Completed,,,"https://ccafs.cgiar.org/
research/projects/building-climate-smart-farming-systems-through-integrated-water-storage-and-crop-livestock","Zaï, contour ridges, dugouts, small reservoirs; and crop-livestock interventions such as trees and legumes, fodder production, crop residue management","Project Leader, Marloes Mul (IWMI) at m.mul@cgiar.org and Augustine Ayantunde (ILRI) at a.ayantunde@cgiar.org.",,,"20,000 small holders farmers",Farming System,,,,,,,,,,,,,,,,
P510,Building Livelihoods And Resilience To Climate Change In East And West Africa,"Our focus of during period has been on valuing past work of PICSA trainings, CSA development and on establishing new contacts to develop new partnerships in climate information dissemination (VIAMO), linking PICSA and value chain development (SNV and CORAF) and developing adaptation benefits financing by both public and private sectors (AfDB).","European Union, International Fund for Agricultural Development","EU, IFAD",Crop Production,Yes,Yes,No,No,Yes - sustainable food systems and value chains,ngo, Alliance Bioversity-CIAT.,,,,Completed,2019,2021,"Building livelihoods and 
resilience to climate change in 
East and West Africa (cgiar.org)","Agroforestry, crop residues recycling",,,,,,,,,,,,,,,,,,Yes ,Training on how to utilize long term planning and short-term tactical adjustments based on forecasts to adapt to climate variability,,
P511,"Climate change adaptation, poverty and women subsistence farmers","The project aims to help around 1,000 women farmers to improve the sustainability of their farming systems and help them adapt to climate change. This will contribute to improving their farm productivity and also the food security of their families and communities",UK Department for International Development, DfID,Crop Production,Yes,Yes,No,No,No,ngo,Friends of the earth Ghana,Brong Ahafo Region,No,No,,,,"Women & Climate Change
 – Friends of the Earth Ghana (wordpress.com)","minimum tillage; agroforestry and increased crop diversity; cover crops; green manuring; composting; use of drought-, heat- and flood- tolerant seeds; rainwater harvesting and storage; and Integrated Soil Fertility Management",,,,"1,000 small holders women farmers",Farming System,,,,,,,Yes,"Constructing food processing and storage centres with processing equipment including solar dryers, which the women will help to construct",,,,,,,,
P512,Securing Climate Change Resilience and Mitigation by building Self-reliant Smallholder Farmers within the Lake Bosumtwe Landscape,The main objective of the project is to support farmers in the Lake Bosumtwe Landscape to become self-reliant in securing Climate Change resilience and mitigation.,European Union,EU,Crop Production,No,Yes,Yes,Yes,No,ngo,A Roach Ghana,Ashanti Region,"Bosomtwe, Bosome Freho","Adwafo, Abaase, Detieso, Esaase, Duase, Amakom, Adjaman, Atafram",Completed,2021,2022,https://ghana.arocha.org/projects/climate-change-resilience-for-farmers-at-lake-bosumtwe/,"Crop residue left on or in soils, Crop rotation, Mixed cropping, Agroforestry, and biochar","1. Dr.Seth Appiah-Kubi, National Director, A Rocha Ghana addressing participants

2. Professor Marian Quain, Deputy Director of Crop Research at CSIR delivering her speech

3. Prosper Antwi-Bosiako. Project Lead",,"Indigenous fruit and tree species,  plantain, cassava,  cocoa and cocoyam","Smallholder farmers (80), especially women, from ten communities around the Lake Bosumtwe",Farming System,,,Yes,Improved soil fertility and water retention,,,Yes,"Knapsack for (Bio-pesticide formulation and application), Farmers Wellington boots, Cutlasses, Measuring tapes, Planting lines and  Watering Cans supplied to farmers",,,,,Yes , Training on farm management and agronomic practices for sustainable maize production,,
P513,Climate-smart agriculture for 500 farmers in Ghana,"Smallholder farmers in West Africa are faced with severe climate change impact on crop productivity. The effects of climate change including drought, soil infertility, lack of minimal soil nutrient to support crop growth with low output have resulted in food insecurity. The excessive high heat has produced diverse high-temperature resistant viruses which are really a big economic problem in agriculture for smallholder farmers.",,,Crop Production,No,Yes,No,Yes,No,ngo,ASA Initiatives,Central Region,"Assin Central District, Cape Coast Metropolitan Assembly",Jukwa,Ongiong ,,,https://www.globalgiving.org/projects/biochar-farming-for-food-security-in-ghana/reports/#menu,Biochar,"1. Mrs. Veronica Agodoa Kitti

2. Mr. Charles Morrison","Email: asainitiative@yahoo.com

Phone: (23320) 466-0111

Email: kojomorrison@yahoo.com

Phone: (23324) 463-1848",,215 small-holder farmers,Fertilizer,,,Yes,,,,,,,,,,Yes ,150 farmers representing 70% received  skill training in biochar preparation and activation,,
P514,"Climate-Resilient
Agricultural and Food Systems project","The project aims at building resilience, and at achieving the following outcomes: knowledge on climate change and behaviour changes to adapt to it, food security thanks to diversified livelihoods, a restored natural base and building institutional capacity.",,,Crop Production,No,Yes,No,No,No,ngo,OXFAM,Upper East Region,"Garu Tempane
",5 communities in each districts,Completed,2015,2018," https://oxfamilibrary.openrepository.com
/bitstream/handle/10546/620889/er-ghana-resilience-251019-en.pdf;jsessionid=8628EF587D41F3546EBC83F22CFDA467?sequence=8","tillage, Intercropped cereals with legumes, zai, terrace, crop rotation, manure, compost, vermi-compost,  drought-resistant varieties",,,,,Agronomic,,,,,Yes ,Weather forcast report,,,,,,,,,,
P514,"Climate-Resilient
Agricultural and Food Systems project","The project aims at building resilience, and at achieving the following outcomes: knowledge on climate change and behaviour changes to adapt to it, food security thanks to diversified livelihoods, a restored natural base and building institutional capacity.",,,Crop Production,No,Yes,No,No,No,ngo,OXFAM,North East Region,East Manprugu ,5 communities in each districts,Completed,2015,2018," https://oxfamilibrary.openrepository.com
/bitstream/handle/10546/620889/er-ghana-resilience-251019-en.pdf;jsessionid=8628EF587D41F3546EBC83F22CFDA467?sequence=8","tillage, Intercropped cereals with legumes, zai, terrace, crop rotation, manure, compost, vermi-compost,  drought-resistant varieties",,,,,Agronomic,,,,,Yes ,Weather forcast report,,,,,,,,,,
P514,"Climate-Resilient
Agricultural and Food Systems project","The project aims at building resilience, and at achieving the following outcomes: knowledge on climate change and behaviour changes to adapt to it, food security thanks to diversified livelihoods, a restored natural base and building institutional capacity.",,,Crop Production,No,Yes,No,No,No,ngo,OXFAM,Upper West Region,"Lawra, Nadowli

",5 communities in each districts,Completed,2015,2018," https://oxfamilibrary.openrepository.com
/bitstream/handle/10546/620889/er-ghana-resilience-251019-en.pdf;jsessionid=8628EF587D41F3546EBC83F22CFDA467?sequence=8","tillage, Intercropped cereals with legumes, zai, terrace, crop rotation, manure, compost, vermi-compost,  drought-resistant varieties",,,,,Agronomic,,,,,Yes ,Weather forcast report,,,,,,,,,,
